Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1463573084879863822,RT @OhNoSheTwitnt : Kid Rock releasing song with a lyric mocking participation trophies the same day Trump was given an honorary black belt is like self-own Inception.,LeighBo ????,dld_hill,2021-11-24T18:19:49.000Z,Wed Nov 24 18:19:49 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1463573063853740032,RT @OhNoSheTwitnt : Kid Rock releasing song with a lyric mocking participation trophies the same day Trump was given an honorary black belt is like self-own Inception.,Tristan Googling,TristanYoung38,2021-11-24T18:19:44.000Z,Wed Nov 24 18:19:44 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,,,,,
1463572988855394306,@Van1ly @ChoiSanIsArt inception water stage too ??,hj? ??,bluyu_u,2021-11-24T18:19:27.000Z,Wed Nov 24 18:19:27 +0000 2021,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1463572808731172872,RT @leandrohortega1 : @FelipeTadewald Já pensou se a nossa realidade é um metaverso e nossas moedas e ativos reais não passam de criptos? Seria uma mistura de Matrix com Inception ?,Jãoão,nevesilvajoao,2021-11-24T18:18:44.000Z,Wed Nov 24 18:18:44 +0000 2021,0,0,pt,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,1,,,,,
1463572797691625472,"Question of the week: What are YOUR favourite movies? Just SOME of Mine (off the top of my head): Inception, Memento, Interstellar, The Matrix, Avatar (waiting for avatar 2), Blade Runner I &amp; II, The Minority report, John Wick, TENET, Déjà Vu, Hunger Games, iBoy…Anyone? #movies",Tania A. Marshall Clinical Psychotherapist Author,TaniaAMarshall,2021-11-24T18:18:41.000Z,Wed Nov 24 18:18:41 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,1,0,,,,,
1463572710592696320,RT @OhNoSheTwitnt : Kid Rock releasing song with a lyric mocking participation trophies the same day Trump was given an honorary black belt is like self-own Inception.,bubblegum?melody,pinkHearts_pop,2021-11-24T18:18:20.000Z,Wed Nov 24 18:18:20 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,,,,,
1463572651482484739,"@CeriGotGame The endings I hate are the ambiguous ones. Inception, Birdman, shit like that. I just want to Archie-slap the director. And then I make my my own ending.",Ghost,ghost_jerry,2021-11-24T18:18:06.000Z,Wed Nov 24 18:18:06 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,1,,,,,
1463572602983641088,RT @RuizSoriano16 : Alexa play Inception by ATEEZ ? https://t.co/Q1iM5az8Sm,sunrise ?? ?,on_my_my_way,2021-11-24T18:17:55.000Z,Wed Nov 24 18:17:55 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,video,https://video.twimg.com/ext_tw_video/1463344385383624704/pu/vid/348x270/EgHcEXMxFaG9xAsN.mp4?tag=12,,,
1463572565289537543,"RT @JujuliaGrace : This was just a battle. There has been a war on the NHS right from its inception; there have always been people looking to profit from healthcare.

We want to win the war; and that requires a movement. So we’re building one. #ScrapNHSBill 
@EveryDoctorUK 

https://t.co/zkhH1sBhRu",Kenneth Currie?FBPE,KennethCurrie10,2021-11-24T18:17:46.000Z,Wed Nov 24 18:17:46 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://www.crowdfunder.co.uk/scrap-nhs-bill ,1,1,,,,,
1463572537854599172,@vanreanalyst @owenbigland Not a MIC but Rise Property Trust. Been nearly a 14% annualized return since inception. LTV sub 50%.,Derek F,Derek__F_,2021-11-24T18:17:39.000Z,Wed Nov 24 18:17:39 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,2,,,,,
1463572445458317318,RT @OhNoSheTwitnt : Kid Rock releasing song with a lyric mocking participation trophies the same day Trump was given an honorary black belt is like self-own Inception.,Lisa Bo,bolisa3,2021-11-24T18:17:17.000Z,Wed Nov 24 18:17:17 +0000 2021,0,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,,0,0,,,,,
1463572354018254853,"@HsakaTrades My favorite of all time

The Departed
Django Unchained
Inception",ME,AN0MEI,2021-11-24T18:16:55.000Z,Wed Nov 24 18:16:55 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Reply,,0,1,,,,,
1463572316185665544,"RT @AmyTrask : Slow kid in the class weighing to share that I have been enjoying @The33rdTeamFB since its inception, but I couldn't figure out why that's its name - was really bugging me, been wracking my brain - just realized today that it's because there are 32 teams - you're welcome.",Charlie Parkinson,The_CP4,2021-11-24T18:16:46.000Z,Wed Nov 24 18:16:46 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,,,,,
1463572305376727041,"RT @MPKandhamal : Capital Hospital has been rendering phenomenal services to the citizens of Bhubaneswar since its inception. Under the exemplary leadership of Hon'ble CM Shri Naveen Patnaik, #Odisha Cabinet has approved construction of PG Institute of Medical Science &amp; Research... https://t.co/IfjrBHtZT5",Sanjeev Kumar Dash,Sanjeev76554403,2021-11-24T18:16:44.000Z,Wed Nov 24 18:16:44 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,1,0,photo,https://pbs.twimg.com/media/FE9UlalXsAQ4K7b.png,,,
1463572274699771911,"RT @JujuliaGrace : This was just a battle. There has been a war on the NHS right from its inception; there have always been people looking to profit from healthcare.

We want to win the war; and that requires a movement. So we’re building one. #ScrapNHSBill 
@EveryDoctorUK 

https://t.co/zkhH1sBhRu",Helena?,SomethingVintag,2021-11-24T18:16:36.000Z,Wed Nov 24 18:16:36 +0000 2021,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Retweet,https://www.crowdfunder.co.uk/scrap-nhs-bill ,1,1,,,,,
1463572179107385347,@ecosse1967 @darylbalfour @chjones9 Are you talking the last 6 months or since the inception of professionalism?,Nic Woolley,nicwoollee,2021-11-24T18:16:14.000Z,Wed Nov 24 18:16:14 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Reply,,0,3,,,,,
